City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
9,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
11,Hai Duong,VN,87.8,scattered clouds,20.9333,106.3167,Chau A Hotel
20,Kampong Thum,KH,83.97,broken clouds,12.7111,104.8887,Sambor Village Hotel
27,Tanout,NE,84.99,scattered clouds,14.9709,8.8879,
35,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
38,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
39,Ratnagiri,IN,76.96,overcast clouds,16.9833,73.3,Hotel Landmark
43,Silago,PH,86.23,light rain,10.5291,125.1618,Silago Tourist Inns
44,Ugoofaaru,MV,81.3,light rain,5.6667,73.0,Ungoofaaru Inn
48,Tual,ID,81.64,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
51,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
52,Sola,VU,79.43,moderate rain,-13.8833,167.55,Leumerus Bungalows
60,Sinnamary,GF,79.66,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
61,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
63,Yarada,IN,79.12,mist,17.65,83.2667,Jeevan
64,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Scoop Guest House
68,Airai,TL,82.22,scattered clouds,-8.9266,125.4092,Juvinal Martin
70,Port Lavaca,US,77.99,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
71,Dingle,PH,85.19,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
72,Port Blair,IN,83.34,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
81,Santo Domingo,DO,78.04,moderate rain,18.5001,-69.9886,Cabañas City Heart
83,Atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
89,San Carlos Del Zulia,VE,76.42,light rain,9.0,-71.9135,Hotel El Manantial
92,Yunyang,CN,83.79,scattered clouds,33.4474,112.7142,Post & Telecom Hotel
95,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
97,Veraval,IN,80.91,overcast clouds,20.9,70.3667,Lords Inn Somnath
100,Butaritari,KI,81.93,light rain,3.0707,172.7902,Isles Sunset Lodge
110,Faanui,PF,79.12,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,Sawakin,SD,83.88,scattered clouds,19.1059,37.3321,فندق الدويم
117,Vianopolis,BR,77.34,scattered clouds,-16.7419,-48.5164,FM Materiais para Construção _ Vianopolis
125,Zhicheng,CN,80.83,clear sky,30.2956,111.5047,Wangjiang Building
126,Hambantota,LK,79.14,light rain,6.1241,81.1185,Bungalow 63
128,Sur,OM,87.15,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
131,Cayenne,GF,83.08,light rain,4.9333,-52.3333,Hôtel Le Dronmi
135,Rameswaram,IN,83.34,overcast clouds,9.2833,79.3,Daiwik Hotels Rameswaram
137,Morgan City,US,78.01,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
140,Mandera,KE,76.78,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
141,Puerto Suarez,BO,86.25,clear sky,-18.95,-57.8,Hotel casa real
142,Maragogi,BR,75.09,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
145,Biak,ID,80.76,light rain,-0.9131,122.8766,Penginapan Kim
148,Hobyo,SO,77.77,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
150,Bontang,ID,80.98,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
151,Wanning,CN,84.72,clear sky,18.8003,110.3967,Paradise Hotel
154,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
156,Kaputa,ZM,78.89,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
160,Sao Desiderio,BR,82.92,overcast clouds,-12.3633,-44.9733,Hotel azaf
161,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
167,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
168,Tankara,IN,76.98,overcast clouds,22.6667,70.7333,TAJ PAN
169,Nabire,ID,84.61,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
170,Kavieng,PG,83.79,light rain,-2.5744,150.7967,Nusa Island Retreat
173,Canguaretama,BR,77.49,few clouds,-6.38,-35.1289,Pousada do Italiano
178,Cockburn Town,TC,83.26,clear sky,21.4612,-71.1419,Osprey Beach Hotel
181,Pecos,US,76.03,scattered clouds,31.4229,-103.4932,Knights Inn & Suites Pecos
184,Cotonou,BJ,80.58,light rain,6.3654,2.4183,Novotel Cotonou Orisha
187,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
192,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
204,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
205,Nyaunglebin,MM,82.38,few clouds,17.95,96.7333,Royal Motel
207,Omboue,GA,76.01,overcast clouds,-1.5746,9.2618,Hotel Olako
209,Daru,PG,80.47,light rain,-9.0763,143.2092,Daru Lodge
210,Bilma,NE,83.35,clear sky,18.6853,12.9164,Expeditions Ténére voyages
211,Bengkulu,ID,79.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
212,Lorengau,PG,77.56,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
218,Meulaboh,ID,76.8,moderate rain,4.1363,96.1285,Kost Pria
220,Eydhafushi,MV,81.14,light rain,5.1033,73.0708,Soneva Fushi
227,Arlit,NE,85.59,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
228,Bariri,BR,75.45,clear sky,-22.0744,-48.7403,San Francisco Hotel
229,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
233,Moussoro,TD,85.32,clear sky,13.6408,16.4901,Hôtel Maltina
235,Karratha,AU,85.62,clear sky,-20.7377,116.8463,ibis Styles Karratha
236,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
237,Sao Filipe,CV,79.32,broken clouds,14.8961,-24.4956,Hotel Xaguate
238,Half Moon Bay,US,87.62,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
242,Cairns,AU,85.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
244,Namatanai,PG,84.02,light rain,-3.6667,152.4333,Seagulls Inn Namatani
245,Lompoc,US,80.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
246,Aden,YE,85.62,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
253,Hetauda,NP,78.15,overcast clouds,27.4284,85.0322,Regal Hetauda Resort
257,Laguna,US,86.23,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
261,Tura,IN,78.66,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
263,Lao Cai,VN,83.86,light rain,22.4833,103.95,Legend Hotel
265,Khorramshahr,IR,84.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
266,Itaueira,BR,81.7,scattered clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
267,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
268,Hirado,JP,78.15,overcast clouds,33.3597,129.5531,Samson Hotel
270,Iralaya,HN,80.06,clear sky,15.0,-83.2333,Iglesia morava renovada
271,Saint George,US,77.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
272,Qui Nhon,VN,83.28,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
273,Salinopolis,BR,79.18,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
277,Balabac,PH,85.42,broken clouds,7.9868,117.0645,Sing and Swing Lodge
281,San Lazaro,BZ,83.98,clear sky,18.0387,-88.6622,
286,Bhadrachalam,IN,78.66,scattered clouds,17.6667,80.8833,Hotel Srinidhi Residency
290,Ciudad Bolivar,VE,79.11,light rain,8.1222,-63.5497,Hotel Edi
291,Qeshm,IR,85.89,scattered clouds,26.9581,56.2719,Qeshm Kavan Hotel
293,Ormara,PK,81.99,light rain,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
294,Huangchuan,CN,80.6,clear sky,32.1272,115.0394,Guangzhou International Hotel
297,Poum,NC,75.61,broken clouds,-20.2333,164.0167,Gîte kajeon
298,Chivacoa,VE,89.83,light rain,10.1603,-68.895,Hotel Fache C.A
