City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Norman Wells,CA,2021-09-24 07:16:51,65.282,-126.8329,39.24,75,40,10.36
1,Port Alfred,ZA,2021-09-24 07:18:11,-33.5906,26.891,65.62,62,99,12.73
2,Ushuaia,AR,2021-09-24 07:16:45,-54.8,-68.3,44.26,76,75,13.8
3,Baykit,RU,2021-09-24 07:18:19,61.67,96.37,38.7,77,100,6.29
4,Chumikan,RU,2021-09-24 07:20:40,54.7183,135.315,61.81,43,3,15.46
5,Mildura,AU,2021-09-24 07:20:40,-34.2,142.15,73.36,28,40,16.11
6,Cape Town,ZA,2021-09-24 07:14:32,-33.9258,18.4232,61.88,83,75,3.0
7,Coruripe,BR,2021-09-24 07:20:41,-10.1256,-36.1756,74.8,87,88,10.22
8,Castro,BR,2021-09-24 07:17:22,-24.7911,-50.0119,47.66,93,94,2.98
9,Esperance,AU,2021-09-24 07:17:51,-33.8667,121.9,57.15,59,81,11.72
10,Labuhan,ID,2021-09-24 07:20:42,-6.8844,112.2051,84.38,65,77,12.93
11,Butaritari,KI,2021-09-24 07:17:06,3.0707,172.7902,83.28,75,3,16.62
12,Albany,US,2021-09-24 07:15:57,42.6001,-73.9662,64.38,95,100,1.74
13,Quatre Cocos,MU,2021-09-24 07:20:43,-20.2078,57.7625,77.11,72,50,17.43
14,Sakakah,SA,2021-09-24 07:20:43,29.9697,40.2064,81.97,35,0,7.7
15,Cowra,AU,2021-09-24 07:20:43,-33.8333,148.6833,67.26,51,51,11.23
16,Georgetown,MY,2021-09-24 07:17:45,5.4112,100.3354,89.89,68,20,1.01
17,Puerto Ayora,EC,2021-09-24 07:17:25,-0.7393,-90.3518,68.76,89,95,7.94
18,Sao Filipe,CV,2021-09-24 07:18:25,14.8961,-24.4956,78.03,76,100,8.19
19,Punta Arenas,CL,2021-09-24 07:16:44,-53.15,-70.9167,43.5,83,100,13.56
20,Bredasdorp,ZA,2021-09-24 07:17:04,-34.5322,20.0403,63.28,63,100,6.91
21,Port Elizabeth,ZA,2021-09-24 07:17:56,-33.918,25.5701,68.09,59,0,4.61
22,Monrovia,LR,2021-09-24 07:20:45,6.3005,-10.7969,74.32,96,100,7.54
23,Ramon Castilla,PE,2021-09-24 07:20:45,-4.2569,-69.9594,75.45,100,0,0.0
24,Mangaluru,IN,2021-09-24 07:20:46,12.8667,74.8833,88.66,62,40,5.75
