,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Tiksi,RU,2021-10-01 01:11:33,71.6872,128.8694,30.96,68,100,4.18,overcast clouds
1,Ballybofey,IE,2021-10-01 01:11:34,54.8,-7.7833,52.03,94,90,10.13,overcast clouds
2,Arraial Do Cabo,BR,2021-10-01 01:01:22,-22.9661,-42.0278,69.53,87,100,8.57,overcast clouds
3,Clyde River,CA,2021-10-01 01:11:34,70.4692,-68.5914,33.31,74,100,6.69,overcast clouds
4,Victoria,HK,2021-10-01 01:09:10,22.2855,114.1577,90.25,82,0,1.01,clear sky
5,Kaitangata,NZ,2021-10-01 01:04:18,-46.2817,169.8464,56.93,52,68,12.28,broken clouds
6,Ancud,CL,2021-10-01 01:11:35,-41.8697,-73.8203,42.33,64,100,5.3,overcast clouds
7,Mar Del Plata,AR,2021-10-01 01:10:16,-38.0023,-57.5575,56.88,63,0,4.0,fog
8,Puerto Ayora,EC,2021-10-01 01:04:00,-0.7393,-90.3518,70.16,91,54,6.73,broken clouds
9,Russell,US,2021-10-01 01:11:36,32.3502,-85.1999,73.96,89,75,0.0,broken clouds
10,Tuktoyaktuk,CA,2021-10-01 01:11:36,69.4541,-133.0374,23.23,86,22,6.98,few clouds
11,Rikitea,PF,2021-10-01 01:09:36,-23.1203,-134.9692,73.31,73,10,16.51,clear sky
12,Barrow,US,2021-10-01 01:00:41,71.2906,-156.7887,30.22,74,90,10.36,haze
13,Carnduff,CA,2021-10-01 01:11:37,49.1667,-101.8009,62.78,24,0,1.59,clear sky
14,Saint-Philippe,RE,2021-10-01 01:11:37,-21.3585,55.7679,71.15,80,51,11.79,broken clouds
15,Mineral Wells,US,2021-10-01 01:11:38,32.8085,-98.1128,73.0,83,75,9.22,moderate rain
16,Vinni,EE,2021-10-01 01:11:38,59.2958,26.4322,42.53,83,88,7.78,overcast clouds
17,Malanje,AO,2021-10-01 01:11:38,-9.5402,16.341,66.43,78,100,5.08,overcast clouds
